No.,Symbol,Name,% Weight,Shares
1,NVDA,NVIDIA Corporation,8.39%,"187,234,635"
2,AAPL,Apple Inc.,7.61%,"113,853,659"
3,MSFT,Microsoft Corporation,5.69%,"57,267,480"
4,AMZN,"Amazon.com, Inc.",4.38%,"82,369,457"
5,TSLA,"Tesla, Inc.",3.92%,"38,457,018"
6,META,"Meta Platforms, Inc.",3.71%,"22,628,711"
7,GOOGL,Alphabet Inc.,3.54%,"44,828,444"
8,WMT,Walmart Inc.,3.37%,"103,958,649"
9,GOOG,Alphabet Inc.,3.28%,"41,661,576"
10,AVGO,Broadcom Inc.,2.94%,"36,386,417"
11,MU,"Micron Technology, Inc.",2.50%,"23,937,806"
12,COST,Costco Wholesale Corporation,2.41%,"9,427,059"
13,NFLX,"Netflix, Inc.",2.19%,"90,134,038"
14,AMD,"Advanced Micro Devices, Inc.",1.75%,"34,630,815"
15,CSCO,"Cisco Systems, Inc.",1.69%,"84,045,523"
16,PLTR,Palantir Technologies Inc.,1.69%,"48,591,164"
17,AMAT,"Applied Materials, Inc.",1.60%,"16,945,748"
18,LRCX,Lam Research Corporation,1.58%,"26,717,643"
19,TMUS,"T-Mobile US, Inc.",1.31%,"23,792,326"
20,LIN,Linde plc,1.28%,"9,932,663"
21,PEP,"PepsiCo, Inc.",1.25%,"29,085,380"
22,INTC,Intel Corporation,1.17%,"101,464,886"
23,AMGN,Amgen Inc.,1.12%,"11,454,248"
24,KLAC,KLA Corporation,1.08%,"2,794,898"
25,TXN,Texas Instruments Incorporated,1.04%,"19,327,758"
26,GILD,"Gilead Sciences, Inc.",0.99%,"26,391,105"
27,ISRG,"Intuitive Surgical, Inc.",0.96%,"7,540,633"
28,ADI,"Analog Devices, Inc.",0.94%,"10,415,651"
29,HON,Honeywell International Inc.,0.83%,"13,505,026"
30,QCOM,QUALCOMM Incorporated,0.82%,"22,781,719"
31,SHOP,Shopify Inc.,0.79%,"26,006,479"
32,BKNG,Booking Holdings Inc.,0.74%,"685,629"
33,APP,AppLovin Corporation,0.72%,"6,543,054"
34,ASML,ASML Holding N.V.,0.68%,"1,866,243"
35,VRTX,Vertex Pharmaceuticals Incorporated,0.68%,"5,396,972"
36,PANW,"Palo Alto Networks, Inc.",0.65%,"17,343,765"
37,CEG,Constellation Energy Corporation,0.64%,"7,707,797"
38,INTU,Intuit Inc.,0.61%,"5,919,317"
39,CMCSA,Comcast Corporation,0.61%,"77,310,039"
40,SBUX,Starbucks Corporation,0.60%,"24,187,766"
41,ADBE,Adobe Inc.,0.59%,"8,904,201"
42,WDC,Western Digital Corporation,0.51%,"7,272,727"
43,CRWD,"CrowdStrike Holdings, Inc.",0.50%,"5,338,229"
44,MAR,"Marriott International, Inc.",0.49%,"5,708,229"
45,MELI,"MercadoLibre, Inc.",0.48%,"1,078,395"
46,STX,Seagate Technology Holdings plc,0.47%,"4,542,731"
47,ADP,"Automatic Data Processing, Inc.",0.47%,"8,603,166"
48,MNST,Monster Beverage Corporation,0.45%,"20,782,674"
49,CDNS,"Cadence Design Systems, Inc.",0.44%,"5,790,142"
50,CTAS,Cintas Corporation,0.43%,"8,548,320"
51,REGN,"Regeneron Pharmaceuticals, Inc.",0.43%,"2,196,959"
52,CSX,CSX Corporation,0.43%,"39,610,357"
53,MDLZ,"Mondelez International, Inc.",0.43%,"27,447,773"
54,ORLY,"O'Reilly Automotive, Inc.",0.43%,"17,955,295"
55,SNPS,"Synopsys, Inc.",0.41%,"3,951,126"
56,DASH,"DoorDash, Inc.",0.39%,"8,642,085"
57,AEP,"American Electric Power Company, Inc.",0.38%,"11,359,839"
58,MRVL,"Marvell Technology, Inc.",0.38%,"18,335,744"
59,WBD,"Warner Bros. Discovery, Inc.",0.38%,"52,706,217"
60,PDD,PDD Holdings Inc.,0.37%,"14,206,504"
61,ROST,"Ross Stores, Inc.",0.36%,"6,916,852"
62,PCAR,PACCAR Inc,0.36%,"11,170,272"
63,BKR,Baker Hughes Company,0.35%,"20,986,273"
64,FTNT,"Fortinet, Inc.",0.32%,"15,817,060"
65,ABNB,"Airbnb, Inc.",0.31%,"9,045,284"
66,NXPI,NXP Semiconductors N.V.,0.31%,"5,353,220"
67,MPWR,"Monolithic Power Systems, Inc.",0.29%,"1,019,026"
68,BME:FER,Ferrovial SE,0.29%,"15,605,824"
69,FAST,Fastenal Company,0.28%,"24,416,501"
70,IDXX,"IDEXX Laboratories, Inc.",0.28%,"1,698,200"
71,ADSK,"Autodesk, Inc.",0.28%,"4,508,367"
72,CCEP,Coca-Cola Europacific Partners PLC,0.27%,"9,744,589"
73,EA,Electronic Arts Inc.,0.27%,"5,319,011"
74,EXC,Exelon Corporation,0.27%,"21,485,439"
75,FANG,"Diamondback Energy, Inc.",0.27%,"6,093,442"
76,XEL,Xcel Energy Inc.,0.27%,"12,580,236"
77,ALNY,"Alnylam Pharmaceuticals, Inc.",0.24%,"2,809,297"
78,PYPL,"PayPal Holdings, Inc.",0.23%,"19,894,420"
79,TRI,Thomson Reuters Corporation,0.23%,"9,458,175"
80,AXON,"Axon Enterprise, Inc.",0.23%,"1,677,455"
81,ODFL,"Old Dominion Freight Line, Inc.",0.23%,"4,446,041"
82,KDP,Keurig Dr Pepper Inc.,0.22%,"28,887,920"
83,MCHP,Microchip Technology Incorporated,0.22%,"11,491,897"
84,TTWO,"Take-Two Interactive Software, Inc.",0.21%,"3,928,380"
85,GEHC,GE HealthCare Technologies Inc.,0.21%,"9,684,934"
86,ROP,"Roper Technologies, Inc.",0.20%,"2,288,329"
87,CPRT,"Copart, Inc.",0.20%,"20,578,201"
88,DDOG,"Datadog, Inc.",0.20%,"6,918,156"
89,MSTR,Strategy Inc,0.19%,"5,690,783"
90,PAYX,"Paychex, Inc.",0.18%,"7,649,896"
91,INSM,Insmed Incorporated,0.17%,"4,533,569"
92,CTSH,Cognizant Technology Solutions Corporation,0.17%,"10,258,009"
93,CHTR,"Charter Communications, Inc.",0.16%,"2,750,502"
94,KHC,The Kraft Heinz Company,0.16%,"25,156,385"
95,VRSK,"Verisk Analytics, Inc.",0.16%,"2,961,522"
96,DXCM,"DexCom, Inc.",0.15%,"8,288,417"
97,WDAY,"Workday, Inc.",0.15%,"4,526,578"
98,ZS,"Zscaler, Inc.",0.13%,"3,387,934"
99,CSGP,"CoStar Group, Inc.",0.10%,"9,003,505"
100,ARM,Arm Holdings plc,0.09%,"2,942,973"
101,,Cash,0.07%,"289,778,018"
102,TEAM,Atlassian Corporation,0.07%,"3,574,491"
103,,E-mini Nasdaq 100 Future Mar 26,0.04%,330
104,,Futures Cash Collateral,0.00%,"17,569,000"
